"a";"b";"c";"d";"e";"f";"g";"h";"i";"j"
0,8116666667;0,8372222222;0,8355555556;0,8222222222;0,83;0,8222222222;0,8411111111;0,8663222222;0,8922222222;0,9511111111
0,8372222222;0,8355555556;0,8222222222;0,83;0,8222222222;0,8411111111;0,8663222222;0,8922222222;0,9511111111;0,9655555556
0,8355555556;0,8222222222;0,83;0,8222222222;0,8411111111;0,8663222222;0,8922222222;0,9511111111;0,9655555556;0,9677777778
0,8222222222;0,83;0,8222222222;0,8411111111;0,8663222222;0,8922222222;0,9511111111;0,9655555556;0,9677777778;0,9677777778
0,83;0,8222222222;0,8411111111;0,8663222222;0,8922222222;0,9511111111;0,9655555556;0,9677777778;0,9677777778;0,9888888889
0,8222222222;0,8411111111;0,8663222222;0,8922222222;0,9511111111;0,9655555556;0,9677777778;0,9677777778;0,9888888889;1,031777778
0,8411111111;0,8663222222;0,8922222222;0,9511111111;0,9655555556;0,9677777778;0,9677777778;0,9888888889;1,031777778;1,005555556
0,8663222222;0,8922222222;0,9511111111;0,9655555556;0,9677777778;0,9677777778;0,9888888889;1,031777778;1,005555556;0,9655555556
0,8922222222;0,9511111111;0,9655555556;0,9677777778;0,9677777778;0,9888888889;1,031777778;1,005555556;0,9655555556;0,9044444444
0,9511111111;0,9655555556;0,9677777778;0,9677777778;0,9888888889;1,031777778;1,005555556;0,9655555556;0,9044444444;0,8755555556
0,9655555556;0,9677777778;0,9677777778;0,9888888889;1,031777778;1,005555556;0,9655555556;0,9044444444;0,8755555556;0,8661111111
0,9677777778;0,9677777778;0,9888888889;1,031777778;1,005555556;0,9655555556;0,9044444444;0,8755555556;0,8661111111;0,8633333333
0,9677777778;0,9888888889;1,031777778;1,005555556;0,9655555556;0,9044444444;0,8755555556;0,8661111111;0,8633333333;0,8644444444
0,9888888889;1,031777778;1,005555556;0,9655555556;0,9044444444;0,8755555556;0,8661111111;0,8633333333;0,8644444444;0,8777777778
1,031777778;1,005555556;0,9655555556;0,9044444444;0,8755555556;0,8661111111;0,8633333333;0,8644444444;0,8777777778;0,8375555556
1,005555556;0,9655555556;0,9044444444;0,8755555556;0,8661111111;0,8633333333;0,8644444444;0,8777777778;0,8375555556;0,8555555556
0,9655555556;0,9044444444;0,8755555556;0,8661111111;0,8633333333;0,8644444444;0,8777777778;0,8375555556;0,8555555556;0,85
0,9044444444;0,8755555556;0,8661111111;0,8633333333;0,8644444444;0,8777777778;0,8375555556;0,8555555556;0,85;0,8288888889
0,8755555556;0,8661111111;0,8633333333;0,8644444444;0,8777777778;0,8375555556;0,8555555556;0,85;0,8288888889;0,8111111111
0,8661111111;0,8633333333;0,8644444444;0,8777777778;0,8375555556;0,8555555556;0,85;0,8288888889;0,8111111111;0,8288888889
0,8633333333;0,8644444444;0,8777777778;0,8375555556;0,8555555556;0,85;0,8288888889;0,8111111111;0,8288888889;0,8255555556
0,8644444444;0,8777777778;0,8375555556;0,8555555556;0,85;0,8288888889;0,8111111111;0,8288888889;0,8255555556;0,8288888889
