“a”,“b”
"158,31","158,54"
"158,54","158,52"
"158,52","158,40"
"158,40","158,47"
"158,47","158,40"
"158,40","158,57"
"158,57","158,80"
"158,80","159,03"
"159,03","159,56"
"159,56","159,69"
"159,69","159,71"
"159,71","159,71"
"159,71","159,90"
"159,90","160,29"
"160,29","160,05"
"160,05","159,69"
"159,69","159,14"
"159,14","158,88"
"158,88","158,80"
"158,80","158,77"
"158,77","158,78"
"158,78","158,90"
"158,90","158,54"
"158,54","158,70"
"158,70","158,65"
"158,65","158,46"
"158,46","158,30"
"158,30","158,46"
"158,46","158,43"
"158,43","158,46"
"158,46","158,64"
"158,64","158,78"
"158,78","159,00"
"159,00","159,00"
"159,00","158,90"
"158,90","159,39"
"159,39","159,59"
"159,59","159,59"
"159,59","159,32"
"159,32","159,39"
"159,39","159,31"
"159,31","159,25"
"159,25","159,63"
"159,63","159,85"
"159,85","159,69"
"159,69","159,38"
"159,38","159,71"
"159,71","159,72"
"159,72","159,55"
"159,55","159,54"
"159,54","159,54"
"159,54","159,46"
"159,46","159,59"
"159,59","159,58"
"159,58","159,55"
"159,55","159,51"
"159,51","159,32"
"159,32","159,12"
"159,12","159,19"
"159,19","159,03"
"159,03","159,01"
"159,01","158,88"
"158,88","158,89"
"158,89","158,71"
"158,71","158,82"
"158,82","158,96"
"158,96","158,85"
"158,85","158,64"
"158,64","158,54"
"158,54","158,16"
"158,16","158,30"
"158,30","158,33"
"158,33","158,35"
"158,35","158,21"
"158,21","158,27"
"158,27","158,29"
"158,29","158,19"
"158,19","158,23"
"158,23","158,18"
"158,18","158,19"
"158,19","158,25"
"158,25","158,24"
"158,24","158,27"
"158,27","158,21"
"158,21","158,19"
"158,19","158,19"
"158,19","158,27"
"158,27","158,33"
"158,33","158,19"
"158,19","157,99"
"157,99","157,90"
"157,90","157,81"
"157,81","157,83"
"157,83","157,77"
"157,77","157,72"
"157,72","157,73"
"157,73","157,73"
"157,73","157,72"
"157,72","157,56"
"157,56","157,60"
"157,60","157,48"
"157,48","157,35"
"157,35","157,25"
"157,25","157,33"
"157,33","157,35"
"157,35","157,43"
"157,43","157,49"
"157,49","157,61"
"157,61","157,51"
"157,51","157,51"
"157,51","157,49"
"157,49","157,41"
"157,41","157,42"
"157,42","157,60"
"157,60","157,48"
"157,48","157,49"
"157,49","157,54"
"157,54","157,55"
"157,55","157,50"
"157,50","157,29"
"157,29","157,35"
"157,35","157,54"
"157,54","157,56"
"157,56","157,61"
"157,61","157,53"
"157,53","157,53"
"157,53","157,54"
"157,54","157,61"
"157,61","157,58"
"157,58","157,58"
"157,58","157,59"
"157,59","157,68"
"157,68","157,71"
"157,71","157,83"
"157,83","157,86"
"157,86","157,89"
"157,89","157,91"
"157,91","158,11"
"158,11","158,03"
"158,03","157,85"
"157,85","157,89"
"157,89","157,87"
"157,87","157,81"
"157,81","157,85"
"157,85","157,80"
"157,80","157,69"
"157,69","157,67"
"157,67","157,74"
"157,74","157,83"
"157,83","157,80"
"157,80","157,95"
"157,95","157,87"
"157,87","157,89"
"157,89","157,90"
"157,90","157,90"
"157,90","157,95"
"157,95","158,05"
"158,05","158,00"
"158,00","158,12"
"158,12","158,11"
"158,11","158,07"
"158,07","158,07"
"158,07","158,10"
"158,10","158,04"
"158,04","158,02"
"158,02","158,03"
"158,03","158,02"
"158,02","158,10"
"158,10","158,10"
"158,10","158,13"
"158,13","158,17"
"158,17","158,10"
"158,10","158,08"
"158,08","158,12"
"158,12","158,09"
"158,09","158,04"
"158,04","158,02"
"158,02","158,04"
"158,04","158,15"
"158,15","158,10"
"158,10","158,17"
"158,17","158,02"
"158,02","158,04"
"158,04","157,95"
"157,95","158,03"
"158,03","158,11"
"158,11","158,10"
"158,10","158,01"
"158,01","158,05"
"158,05","158,00"
"158,00","158,12"
"158,12","158,11"
"158,11","158,17"
"158,17","158,20"
"158,20","158,19"
"158,19","158,09"
"158,09","158,11"
"158,11","158,21"
"158,21","158,21"
"158,21","158,26"
"158,26","158,31"
"158,31","158,28"
"158,28","158,26"
"158,26","158,27"
"158,27","158,28"
"158,28","158,35"
"158,35","158,30"
"158,30","158,18"
"158,18","158,26"
"158,26","158,30"
"158,30","158,27"
"158,27","158,28"
"158,28","158,37"
"158,37","158,38"
"158,38","158,41"
"158,41","158,39"
"158,39","158,47"
"158,47","158,47"
"158,47","158,42"
"158,42","158,39"
"158,39","158,39"
"158,39","158,43"
"158,43","158,44"
"158,44","158,46"
"158,46","158,44"
"158,44","158,40"
"158,40","158,34"
"158,34","158,36"
"158,36","158,30"
"158,30","158,29"
"158,29","158,22"
"158,22","158,20"
"158,20","158,14"
"158,14","158,15"
"158,15","158,14"
"158,14","158,12"
"158,12","158,06"
"158,06","157,98"
"157,98","157,94"
"157,94","157,99"
"157,99","158,03"
"158,03","158,05"
"158,05","158,04"
"158,04","158,07"
"158,07","158,10"
"158,10","158,05"
"158,05","158,05"
"158,05","158,00"
"158,00","158,00"
"158,00","158,06"
"158,06","158,03"
"158,03","158,04"
"158,04","157,97"
"157,97","158,12"
"158,12","158,24"
"158,24","158,28"
"158,28","158,22"
"158,22","158,21"
"158,21","158,32"
"158,32","158,33"
"158,33","158,44"
"158,44","158,47"
"158,47","158,42"
"158,42","158,43"
"158,43","158,27"
"158,27","158,25"
"158,25","158,28"
"158,28","158,28"
"158,28","158,29"
"158,29","158,28"
"158,28","158,33"
"158,33","158,34"
"158,34","158,38"
"158,38","158,37"
"158,37","158,35"
"158,35","158,42"
"158,42","158,44"
"158,44","158,45"
"158,45","158,46"
"158,46","158,49"
"158,49","158,47"
